chromosome,total_ibd_mb,percentage
1,15161.046804,9.3
2,15799.329555,9.69
3,12064.024719,7.4
4,11296.389107,6.93
5,10196.055527,6.26
6,10171.914696,6.24
7,9321.143681,5.72
8,7678.722941,4.71
9,7722.233024,4.74
10,7542.713364,4.63
11,8130.868762,4.99
12,8265.503202,5.07
13,5114.852571,3.14
14,4547.947637,2.79
15,4131.344668,2.54
16,5727.503599,3.51
17,4054.575061,2.49
18,5108.330404,3.13
19,3185.852897,1.95
20,3906.829256,2.4
21,1839.495018,1.13
22,2001.449751,1.23
