pair,total_ibd_mb,sample_a,sample_b
"('NA19312_NA19312', 'NA19316_NA19316')",155.152237,NA19312_NA19312,NA19316_NA19316
"('NA19307_NA19307', 'NA19434_NA19434')",154.187415,NA19307_NA19307,NA19434_NA19434
"('NA19466_NA19466', 'NA19467_NA19467')",150.712012,NA19466_NA19466,NA19467_NA19467
"('NA19046_NA19046', 'NA19321_NA19321')",146.622094,NA19046_NA19046,NA19321_NA19321
"('NA19331_NA19331', 'NA19360_NA19360')",145.485075,NA19331_NA19331,NA19360_NA19360
"('NA19317_NA19317', 'NA19347_NA19347')",145.310529,NA19317_NA19317,NA19347_NA19347
"('NA19046_NA19046', 'NA19393_NA19393')",140.359106,NA19046_NA19046,NA19393_NA19393
"('NA19318_NA19318', 'NA19347_NA19347')",138.404495,NA19318_NA19318,NA19347_NA19347
"('NA19379_NA19379', 'NA19380_NA19380')",133.333271,NA19379_NA19379,NA19380_NA19380
"('NA19359_NA19359', 'NA19395_NA19395')",124.963528,NA19359_NA19359,NA19395_NA19395
"('NA19307_NA19307', 'NA19355_NA19355')",123.14991400000001,NA19307_NA19307,NA19355_NA19355
"('NA19379_NA19379', 'NA19381_NA19381')",121.13412100000001,NA19379_NA19379,NA19381_NA19381
"('NA19035_NA19035', 'NA19308_NA19308')",120.38404,NA19035_NA19035,NA19308_NA19308
"('NA19307_NA19307', 'NA19444_NA19444')",117.68555599999999,NA19307_NA19307,NA19444_NA19444
"('NA19448_NA19448', 'NA19451_NA19451')",116.116723,NA19448_NA19448,NA19451_NA19451
"('NA19307_NA19307', 'NA19360_NA19360')",113.718763,NA19307_NA19307,NA19360_NA19360
"('NA19398_NA19398', 'NA19449_NA19449')",112.85247600000001,NA19398_NA19398,NA19449_NA19449
"('NA19384_NA19384', 'NA19467_NA19467')",111.128255,NA19384_NA19384,NA19467_NA19467
"('NA19316_NA19316', 'NA19434_NA19434')",105.638037,NA19316_NA19316,NA19434_NA19434
"('NA19316_NA19316', 'NA19355_NA19355')",102.12759299999999,NA19316_NA19316,NA19355_NA19355
"('NA19316_NA19316', 'NA19444_NA19444')",100.800292,NA19316_NA19316,NA19444_NA19444
"('NA19355_NA19355', 'NA19398_NA19398')",100.323904,NA19355_NA19355,NA19398_NA19398
"('NA19461_NA19461', 'NA19467_NA19467')",96.48384300000001,NA19461_NA19461,NA19467_NA19467
"('NA19046_NA19046', 'NA19350_NA19350')",95.66460599999999,NA19046_NA19046,NA19350_NA19350
"('NA19332_NA19332', 'NA19360_NA19360')",95.45027400000001,NA19332_NA19332,NA19360_NA19360
"('NA19334_NA19334', 'NA19360_NA19360')",94.731186,NA19334_NA19334,NA19360_NA19360
"('NA19312_NA19312', 'NA19393_NA19393')",92.925263,NA19312_NA19312,NA19393_NA19393
"('NA19038_NA19038', 'NA19429_NA19429')",92.84830500000001,NA19038_NA19038,NA19429_NA19429
"('NA19316_NA19316', 'NA19360_NA19360')",90.72794200000001,NA19316_NA19316,NA19360_NA19360
"('NA19316_NA19316', 'NA19461_NA19461')",88.090896,NA19316_NA19316,NA19461_NA19461
"('NA19312_NA19312', 'NA19360_NA19360')",87.551011,NA19312_NA19312,NA19360_NA19360
"('NA19308_NA19308', 'NA19350_NA19350')",87.271907,NA19308_NA19308,NA19350_NA19350
"('NA19393_NA19393', 'NA19397_NA19397')",86.38730699999999,NA19393_NA19393,NA19397_NA19397
"('NA19338_NA19338', 'NA19444_NA19444')",82.776913,NA19338_NA19338,NA19444_NA19444
"('NA19312_NA19312', 'NA19473_NA19473')",81.375688,NA19312_NA19312,NA19473_NA19473
"('NA19393_NA19393', 'NA19396_NA19396')",79.968321,NA19393_NA19393,NA19396_NA19396
"('NA19390_NA19390', 'NA19440_NA19440')",79.307288,NA19390_NA19390,NA19440_NA19440
"('NA19308_NA19308', 'NA19397_NA19397')",79.068678,NA19308_NA19308,NA19397_NA19397
"('NA19449_NA19449', 'NA19462_NA19462')",78.185494,NA19449_NA19449,NA19462_NA19462
"('NA19428_NA19428', 'NA19471_NA19471')",77.430954,NA19428_NA19428,NA19471_NA19471
"('NA19318_NA19318', 'NA19331_NA19331')",77.284641,NA19318_NA19318,NA19331_NA19331
"('NA19318_NA19318', 'NA19467_NA19467')",77.206007,NA19318_NA19318,NA19467_NA19467
"('NA19398_NA19398', 'NA19443_NA19443')",77.184765,NA19398_NA19398,NA19443_NA19443
"('NA19035_NA19035', 'NA19467_NA19467')",77.146212,NA19035_NA19035,NA19467_NA19467
"('NA19428_NA19428', 'NA19456_NA19456')",77.136237,NA19428_NA19428,NA19456_NA19456
"('NA19338_NA19338', 'NA19434_NA19434')",76.936132,NA19338_NA19338,NA19434_NA19434
"('NA19310_NA19310', 'NA19428_NA19428')",76.866871,NA19310_NA19310,NA19428_NA19428
"('NA19318_NA19318', 'NA19334_NA19334')",76.850694,NA19318_NA19318,NA19334_NA19334
"('NA19311_NA19311', 'NA19472_NA19472')",76.209645,NA19311_NA19311,NA19472_NA19472
"('NA19035_NA19035', 'NA19321_NA19321')",75.939067,NA19035_NA19035,NA19321_NA19321
"('NA19307_NA19307', 'NA19393_NA19393')",74.611598,NA19307_NA19307,NA19393_NA19393
"('NA19324_NA19324', 'NA19431_NA19431')",73.906811,NA19324_NA19324,NA19431_NA19431
"('NA19046_NA19046', 'NA19384_NA19384')",73.534549,NA19046_NA19046,NA19384_NA19384
"('NA19455_NA19455', 'NA19474_NA19474')",72.98884199999999,NA19455_NA19455,NA19474_NA19474
"('NA19375_NA19375', 'NA19384_NA19384')",72.959823,NA19375_NA19375,NA19384_NA19384
"('NA19384_NA19384', 'NA19430_NA19430')",72.67871699999999,NA19384_NA19384,NA19430_NA19430
"('NA19461_NA19461', 'NA19472_NA19472')",70.973714,NA19461_NA19461,NA19472_NA19472
"('NA19382_NA19382', 'NA19449_NA19449')",70.526109,NA19382_NA19382,NA19449_NA19449
"('NA19451_NA19451', 'NA19461_NA19461')",70.316708,NA19451_NA19451,NA19461_NA19461
"('NA19312_NA19312', 'NA19319_NA19319')",70.18868,NA19312_NA19312,NA19319_NA19319
"('NA19359_NA19359', 'NA19439_NA19439')",69.95353,NA19359_NA19359,NA19439_NA19439
"('NA19308_NA19308', 'NA19404_NA19404')",69.88776299999999,NA19308_NA19308,NA19404_NA19404
"('NA19347_NA19347', 'NA19428_NA19428')",69.842704,NA19347_NA19347,NA19428_NA19428
"('NA19431_NA19431', 'NA19468_NA19468')",69.788492,NA19431_NA19431,NA19468_NA19468
"('NA19383_NA19383', 'NA19394_NA19394')",69.68634,NA19383_NA19383,NA19394_NA19394
"('NA19318_NA19318', 'NA19384_NA19384')",69.576227,NA19318_NA19318,NA19384_NA19384
"('NA19462_NA19462', 'NA19466_NA19466')",69.276606,NA19462_NA19462,NA19466_NA19466
"('NA19452_NA19452', 'NA19461_NA19461')",68.592011,NA19452_NA19452,NA19461_NA19461
"('NA19308_NA19308', 'NA19396_NA19396')",68.296393,NA19308_NA19308,NA19396_NA19396
"('NA19449_NA19449', 'NA19467_NA19467')",68.076059,NA19449_NA19449,NA19467_NA19467
"('NA19347_NA19347', 'NA19445_NA19445')",67.557217,NA19347_NA19347,NA19445_NA19445
