pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19318_NA19318', 'NA19471_NA19471')",185.29599599999997,NA19318_NA19318,NA19471_NA19471,0.05790499874999999
"('NA19360_NA19360', 'NA19444_NA19444')",180.60091,NA19360_NA19360,NA19444_NA19444,0.056437784375
"('NA19375_NA19375', 'NA19393_NA19393')",180.376132,NA19375_NA19375,NA19393_NA19393,0.05636754125000001
"('NA19466_NA19466', 'NA19471_NA19471')",169.277568,NA19466_NA19466,NA19471_NA19471,0.05289924
"('NA19430_NA19430', 'NA19452_NA19452')",166.817113,NA19430_NA19430,NA19452_NA19452,0.052130347812500005
"('NA19376_NA19376', 'NA19393_NA19393')",159.169544,NA19376_NA19376,NA19393_NA19393,0.0497404825
"('NA19317_NA19317', 'NA19318_NA19318')",156.28118800000001,NA19317_NA19317,NA19318_NA19318,0.048837871250000005
"('NA19350_NA19350', 'NA19376_NA19376')",155.751405,NA19350_NA19350,NA19376_NA19376,0.0486723140625
"('NA19312_NA19312', 'NA19316_NA19316')",155.152237,NA19312_NA19312,NA19316_NA19316,0.0484850740625
"('NA19307_NA19307', 'NA19434_NA19434')",154.187415,NA19307_NA19307,NA19434_NA19434,0.0481835671875
"('NA19466_NA19466', 'NA19467_NA19467')",150.712012,NA19466_NA19466,NA19467_NA19467,0.04709750375
"('NA19046_NA19046', 'NA19321_NA19321')",146.622094,NA19046_NA19046,NA19321_NA19321,0.045819404375000004
"('NA19331_NA19331', 'NA19360_NA19360')",145.485075,NA19331_NA19331,NA19360_NA19360,0.045464085937499996
"('NA19317_NA19317', 'NA19347_NA19347')",145.310529,NA19317_NA19317,NA19347_NA19347,0.0454095403125
"('NA19046_NA19046', 'NA19393_NA19393')",140.359106,NA19046_NA19046,NA19393_NA19393,0.043862220625
"('NA19318_NA19318', 'NA19347_NA19347')",138.404495,NA19318_NA19318,NA19347_NA19347,0.0432514046875
"('NA19379_NA19379', 'NA19380_NA19380')",133.333271,NA19379_NA19379,NA19380_NA19380,0.041666647187499996
"('NA19359_NA19359', 'NA19395_NA19395')",124.963528,NA19359_NA19359,NA19395_NA19395,0.0390511025
"('NA19307_NA19307', 'NA19355_NA19355')",123.14991400000001,NA19307_NA19307,NA19355_NA19355,0.038484348125000005
"('NA19379_NA19379', 'NA19381_NA19381')",121.13412100000001,NA19379_NA19379,NA19381_NA19381,0.0378544128125
"('NA19035_NA19035', 'NA19308_NA19308')",120.38404,NA19035_NA19035,NA19308_NA19308,0.0376200125
