sample_a,sample_b,total_ibd_mb,pi_hat
NA19316_NA19316,NA19444_NA19444,100.800292,0.03150009125
NA19355_NA19355,NA19398_NA19398,100.323904,0.03135122
NA19461_NA19461,NA19467_NA19467,96.48384300000001,0.0301512009375
NA19046_NA19046,NA19350_NA19350,95.66460599999999,0.029895189375
NA19332_NA19332,NA19360_NA19360,95.45027400000001,0.029828210625000004
NA19334_NA19334,NA19360_NA19360,94.731186,0.029603495624999997
NA19312_NA19312,NA19393_NA19393,92.925263,0.0290391446875
NA19038_NA19038,NA19429_NA19429,92.84830500000001,0.029015095312500003
NA19316_NA19316,NA19360_NA19360,90.72794200000001,0.028352481875000005
NA19316_NA19316,NA19461_NA19461,88.090896,0.027528405
NA19312_NA19312,NA19360_NA19360,87.551011,0.0273596909375
NA19308_NA19308,NA19350_NA19350,87.271907,0.0272724709375
NA19393_NA19393,NA19397_NA19397,86.38730699999999,0.026996033437499997
NA19338_NA19338,NA19444_NA19444,82.776913,0.0258677853125
NA19312_NA19312,NA19473_NA19473,81.375688,0.0254299025
NA19393_NA19393,NA19396_NA19396,79.968321,0.0249901003125
NA19390_NA19390,NA19440_NA19440,79.307288,0.0247835275
NA19308_NA19308,NA19397_NA19397,79.068678,0.024708961875
NA19449_NA19449,NA19462_NA19462,78.185494,0.024432966875000003
NA19428_NA19428,NA19471_NA19471,77.430954,0.024197173125
NA19318_NA19318,NA19331_NA19331,77.284641,0.0241514503125
NA19318_NA19318,NA19467_NA19467,77.206007,0.0241268771875
NA19398_NA19398,NA19443_NA19443,77.184765,0.0241202390625
NA19035_NA19035,NA19467_NA19467,77.146212,0.02410819125
NA19428_NA19428,NA19456_NA19456,77.136237,0.0241050740625
NA19338_NA19338,NA19434_NA19434,76.936132,0.02404254125
NA19310_NA19310,NA19428_NA19428,76.866871,0.0240208971875
NA19318_NA19318,NA19334_NA19334,76.850694,0.024015841875000003
NA19311_NA19311,NA19472_NA19472,76.209645,0.023815514062499998
NA19035_NA19035,NA19321_NA19321,75.939067,0.023730958437499998
NA19307_NA19307,NA19393_NA19393,74.611598,0.023316124375
NA19324_NA19324,NA19431_NA19431,73.906811,0.023095878437500002
NA19046_NA19046,NA19384_NA19384,73.534549,0.022979546562499998
NA19455_NA19455,NA19474_NA19474,72.98884199999999,0.022809013124999996
NA19375_NA19375,NA19384_NA19384,72.959823,0.0227999446875
NA19384_NA19384,NA19430_NA19430,72.67871699999999,0.022712099062499998
NA19461_NA19461,NA19472_NA19472,70.973714,0.022179285625
NA19382_NA19382,NA19449_NA19449,70.526109,0.0220394090625
NA19451_NA19451,NA19461_NA19461,70.316708,0.02197397125
NA19312_NA19312,NA19319_NA19319,70.18868,0.0219339625
NA19359_NA19359,NA19439_NA19439,69.95353,0.021860478125
NA19308_NA19308,NA19404_NA19404,69.88776299999999,0.021839925937499997
NA19347_NA19347,NA19428_NA19428,69.842704,0.021825845
NA19431_NA19431,NA19468_NA19468,69.788492,0.02180890375
NA19383_NA19383,NA19394_NA19394,69.68634,0.02177698125
NA19318_NA19318,NA19384_NA19384,69.576227,0.0217425709375
NA19462_NA19462,NA19466_NA19466,69.276606,0.021648939375
NA19452_NA19452,NA19461_NA19461,68.592011,0.0214350034375
NA19308_NA19308,NA19396_NA19396,68.296393,0.0213426228125
NA19449_NA19449,NA19467_NA19467,68.076059,0.0212737684375
NA19347_NA19347,NA19445_NA19445,67.557217,0.021111630312499997
NA19352_NA19352,NA19374_NA19374,67.45062499999999,0.021078320312499996
NA19376_NA19376,NA19430_NA19430,67.418972,0.02106842875
NA19352_NA19352,NA19373_NA19373,66.772734,0.020866479375
NA19384_NA19384,NA19448_NA19448,66.397595,0.0207492484375
NA19312_NA19312,NA19355_NA19355,66.371798,0.020741186874999998
NA19448_NA19448,NA19452_NA19452,66.192818,0.020685255625
NA19377_NA19377,NA19446_NA19446,65.882755,0.0205883609375
NA19390_NA19390,NA19468_NA19468,65.864869,0.0205827715625
NA19319_NA19319,NA19440_NA19440,65.673467,0.020522958437500002
NA19381_NA19381,NA19469_NA19469,65.518078,0.020474399375
NA19319_NA19319,NA19394_NA19394,65.286352,0.020401984999999997
NA19311_NA19311,NA19379_NA19379,65.169435,0.0203654484375
NA19390_NA19390,NA19446_NA19446,64.802442,0.020250763125
NA19321_NA19321,NA19470_NA19470,64.317267,0.0200991459375
NA19044_NA19044,NA19467_NA19467,64.271754,0.020084923125
NA19374_NA19374,NA19390_NA19390,63.195859000000006,0.019748705937500003
NA19317_NA19317,NA19379_NA19379,62.948523,0.0196714134375
NA19317_NA19317,NA19440_NA19440,62.789654,0.019621766875
NA19308_NA19308,NA19466_NA19466,62.445862999999996,0.019514332187499997
NA19455_NA19455,NA19461_NA19461,61.971468,0.01936608375
NA19328_NA19328,NA19466_NA19466,61.9121,0.01934753125
NA19434_NA19434,NA19455_NA19455,61.559921,0.019237475312500002
NA19360_NA19360,NA19381_NA19381,61.479591,0.0192123721875
NA19321_NA19321,NA19403_NA19403,61.370381,0.019178244062500002
NA19346_NA19346,NA19452_NA19452,61.257199,0.0191428746875
NA19328_NA19328,NA19404_NA19404,61.247476,0.01913983625
NA19346_NA19346,NA19372_NA19372,60.746103999999995,0.0189831575
NA19312_NA19312,NA19338_NA19338,60.531172999999995,0.018915991562499998
NA19373_NA19373,NA19439_NA19439,60.515438,0.018911074375
NA19315_NA19315,NA19451_NA19451,60.301126000000004,0.018844101875
NA19308_NA19308,NA19375_NA19375,60.200896,0.01881278
NA19328_NA19328,NA19436_NA19436,59.962868,0.01873839625
NA19359_NA19359,NA19438_NA19438,59.929837,0.0187280740625
NA19428_NA19428,NA19451_NA19451,59.798401,0.0186870003125
NA19328_NA19328,NA19380_NA19380,59.63549,0.018636090625
NA19038_NA19038,NA19321_NA19321,59.188652999999995,0.018496454062499997
NA19046_NA19046,NA19440_NA19440,59.064999,0.0184578121875
NA19390_NA19390,NA19443_NA19443,58.894446,0.018404514375
NA19318_NA19318,NA19473_NA19473,58.661347,0.0183316709375
NA19311_NA19311,NA19474_NA19474,58.543286,0.018294776875
NA19384_NA19384,NA19451_NA19451,58.527811,0.0182899409375
NA19035_NA19035,NA19462_NA19462,58.453013,0.0182665665625
NA19318_NA19318,NA19338_NA19338,58.409045,0.0182528265625
NA19376_NA19376,NA19384_NA19384,58.320304,0.018225095
NA19377_NA19377,NA19379_NA19379,58.288041,0.0182150128125
NA19350_NA19350,NA19384_NA19384,57.90276,0.0180946125
NA19350_NA19350,NA19399_NA19399,57.71102,0.01803469375
NA19321_NA19321,NA19469_NA19469,57.701764,0.01803180125
NA19403_NA19403,NA19461_NA19461,57.669919,0.0180218496875
NA19360_NA19360,NA19437_NA19437,57.643833,0.0180136978125
NA19351_NA19351,NA19394_NA19394,57.369012000000005,0.017927816250000003
NA19319_NA19319,NA19467_NA19467,57.225955,0.0178831109375
NA19350_NA19350,NA19435_NA19435,57.186775,0.0178708671875
NA19312_NA19312,NA19375_NA19375,57.16957299999999,0.0178654915625
NA19328_NA19328,NA19446_NA19446,57.091818999999994,0.0178411934375
NA19380_NA19380,NA19443_NA19443,57.004896,0.01781403
NA19327_NA19327,NA19396_NA19396,56.940342,0.017793856875
NA19316_NA19316,NA19468_NA19468,56.925816000000005,0.017789317500000002
NA19377_NA19377,NA19452_NA19452,56.92065,0.017787703125000002
NA19318_NA19318,NA19346_NA19346,56.746363,0.0177332384375
NA19453_NA19453,NA19455_NA19455,56.511101000000004,0.017659719062500003
NA19379_NA19379,NA19431_NA19431,56.465889,0.0176455903125
NA19327_NA19327,NA19474_NA19474,56.277348,0.01758667125
NA19391_NA19391,NA19397_NA19397,56.152531,0.0175476659375
NA19310_NA19310,NA19372_NA19372,56.084753,0.0175264853125
NA19347_NA19347,NA19430_NA19430,55.871345000000005,0.017459795312500002
NA19327_NA19327,NA19382_NA19382,55.796186000000006,0.017436308125
NA19404_NA19404,NA19446_NA19446,55.754263,0.0174232071875
NA19038_NA19038,NA19351_NA19351,55.694667,0.0174045834375
NA19383_NA19383,NA19455_NA19455,55.630297999999996,0.017384468125
NA19308_NA19308,NA19439_NA19439,55.592771,0.0173727409375
NA19334_NA19334,NA19371_NA19371,55.531442999999996,0.017353575937499997
NA19390_NA19390,NA19448_NA19448,55.388865,0.0173090203125
NA19309_NA19309,NA19461_NA19461,55.382066,0.017306895625
NA19319_NA19319,NA19346_NA19346,55.377708,0.01730553375
NA19309_NA19309,NA19436_NA19436,55.309325,0.0172841640625
NA19382_NA19382,NA19434_NA19434,55.268656,0.017271455
NA19397_NA19397,NA19398_NA19398,55.167306,0.017239783125
NA19440_NA19440,NA19446_NA19446,55.015377,0.0171923053125
NA19346_NA19346,NA19375_NA19375,54.879764,0.01714992625
NA19351_NA19351,NA19398_NA19398,54.783868,0.01711995875
NA19379_NA19379,NA19469_NA19469,54.777667,0.0171180209375
NA19332_NA19332,NA19398_NA19398,54.710927000000005,0.017097164687500003
NA19044_NA19044,NA19471_NA19471,54.694894,0.017092154374999998
NA19318_NA19318,NA19379_NA19379,54.671543,0.0170848571875
NA19385_NA19385,NA19396_NA19396,54.489292,0.01702790375
NA19391_NA19391,NA19396_NA19396,54.335347,0.0169797959375
NA19376_NA19376,NA19468_NA19468,54.244589000000005,0.016951434062500003
NA19360_NA19360,NA19456_NA19456,54.171549,0.0169286090625
NA19316_NA19316,NA19467_NA19467,54.162915,0.0169259109375
NA19318_NA19318,NA19463_NA19463,54.145542999999996,0.0169204821875
NA19328_NA19328,NA19440_NA19440,53.984363,0.0168701134375
NA19319_NA19319,NA19373_NA19373,53.86511,0.016832846875
NA19331_NA19331,NA19395_NA19395,53.795326,0.016811039375
NA19338_NA19338,NA19352_NA19352,53.61919,0.016755996875
NA19435_NA19435,NA19466_NA19466,53.533549,0.0167292340625
NA19331_NA19331,NA19379_NA19379,53.434919,0.0166984121875
NA19350_NA19350,NA19393_NA19393,53.203681,0.0166261503125
NA19308_NA19308,NA19328_NA19328,53.16725,0.016614765625
NA19035_NA19035,NA19463_NA19463,53.138893,0.0166059040625
NA19372_NA19372,NA19466_NA19466,53.035407,0.0165735646875
NA19359_NA19359,NA19451_NA19451,53.027688,0.0165711525
NA19332_NA19332,NA19377_NA19377,53.025147,0.0165703584375
NA19334_NA19334,NA19390_NA19390,52.971805,0.0165536890625
NA19436_NA19436,NA19466_NA19466,52.960413,0.016550129062500002
NA19310_NA19310,NA19456_NA19456,52.586718999999995,0.016433349687499998
NA19311_NA19311,NA19327_NA19327,52.542889,0.0164196528125
NA19046_NA19046,NA19328_NA19328,52.482510999999995,0.0164007846875
NA19316_NA19316,NA19471_NA19471,52.323802,0.016351188125
NA19036_NA19036,NA19429_NA19429,52.259260000000005,0.016331018750000002
NA19350_NA19350,NA19431_NA19431,52.190784,0.01630962
NA19390_NA19390,NA19401_NA19401,52.131534,0.016291104375
NA19355_NA19355,NA19437_NA19437,52.115755,0.0162861734375
NA19311_NA19311,NA19338_NA19338,52.110383,0.016284494687499998
NA19394_NA19394,NA19395_NA19395,51.902862999999996,0.0162196446875
NA19319_NA19319,NA19430_NA19430,51.803232,0.01618851
NA19313_NA19313,NA19379_NA19379,51.779251,0.0161810159375
NA19453_NA19453,NA19461_NA19461,51.756128,0.01617379
NA19453_NA19453,NA19457_NA19457,51.452429,0.0160788840625
NA19401_NA19401,NA19404_NA19404,51.418615,0.0160683171875
NA19376_NA19376,NA19398_NA19398,51.109745000000004,0.015971795312500002
NA19313_NA19313,NA19318_NA19318,51.092581,0.0159664315625
NA19307_NA19307,NA19375_NA19375,51.073353,0.0159604228125
NA19338_NA19338,NA19393_NA19393,51.046321,0.0159519753125
NA19308_NA19308,NA19469_NA19469,51.014132999999994,0.0159419165625
NA19334_NA19334,NA19395_NA19395,51.006325,0.0159394765625
NA19338_NA19338,NA19377_NA19377,50.934019,0.0159168809375
NA19308_NA19308,NA19393_NA19393,50.749078000000004,0.015859086875
NA19359_NA19359,NA19468_NA19468,50.74027,0.015856334375
NA19315_NA19315,NA19350_NA19350,50.729832,0.0158530725
NA19394_NA19394,NA19457_NA19457,50.719778,0.015849930624999998
NA19309_NA19309,NA19317_NA19317,50.698198,0.015843186874999998
NA19380_NA19380,NA19457_NA19457,50.618781999999996,0.015818369375
NA19046_NA19046,NA19449_NA19449,50.581365000000005,0.0158066765625
NA19403_NA19403,NA19439_NA19439,50.518949,0.0157871715625
NA19044_NA19044,NA19046_NA19046,50.371721,0.0157411628125
NA19377_NA19377,NA19398_NA19398,50.3223,0.01572571875
NA19346_NA19346,NA19350_NA19350,50.168775,0.0156777421875
NA19467_NA19467,NA19471_NA19471,50.162045,0.0156756390625
NA19435_NA19435,NA19462_NA19462,50.070802,0.015647125625
NA19385_NA19385,NA19399_NA19399,50.042269,0.0156382090625
NA19327_NA19327,NA19338_NA19338,50.032459,0.015635143437500002
NA19382_NA19382,NA19455_NA19455,49.900429,0.0155938840625
NA19327_NA19327,NA19377_NA19377,49.800559,0.0155626746875
NA19376_NA19376,NA19440_NA19440,49.793313000000005,0.015560410312500002
NA19346_NA19346,NA19466_NA19466,49.787233,0.015558510312500001
NA19377_NA19377,NA19391_NA19391,49.708528,0.015533915
NA19461_NA19461,NA19471_NA19471,49.603842,0.015501200625
NA19308_NA19308,NA19376_NA19376,49.599085,0.015499714062500001
NA19044_NA19044,NA19439_NA19439,49.572828,0.01549150875
NA19321_NA19321,NA19461_NA19461,49.462381,0.0154569940625
NA19319_NA19319,NA19457_NA19457,49.432191,0.015447559687500001
NA19382_NA19382,NA19431_NA19431,49.393449000000004,0.015435452812500002
NA19380_NA19380,NA19451_NA19451,49.269837,0.015396824062500002
NA19307_NA19307,NA19463_NA19463,49.231041,0.0153847003125
NA19317_NA19317,NA19328_NA19328,49.216307,0.0153800959375
NA19431_NA19431,NA19471_NA19471,49.184314,0.015370098125
NA19455_NA19455,NA19472_NA19472,49.132315000000006,0.015353848437500001
NA19307_NA19307,NA19381_NA19381,49.040286,0.015325089375
NA19044_NA19044,NA19317_NA19317,49.003378,0.015313555625
NA19461_NA19461,NA19473_NA19473,48.969514000000004,0.015302973125000001
NA19394_NA19394,NA19430_NA19430,48.904401,0.0152826253125
NA19319_NA19319,NA19466_NA19466,48.880988,0.015275308750000001
NA19311_NA19311,NA19328_NA19328,48.875681,0.0152736503125
NA19313_NA19313,NA19384_NA19384,48.802394,0.015250748125
NA19398_NA19398,NA19471_NA19471,48.792730999999996,0.015247728437499998
NA19398_NA19398,NA19438_NA19438,48.785782,0.015245556875
NA19317_NA19317,NA19338_NA19338,48.762584000000004,0.015238307500000001
NA19461_NA19461,NA19462_NA19462,48.695605,0.015217376562500001
NA19351_NA19351,NA19360_NA19360,48.692773,0.0152164915625
NA19044_NA19044,NA19359_NA19359,48.65969,0.015206153125
NA19379_NA19379,NA19384_NA19384,48.63098,0.01519718125
NA19316_NA19316,NA19436_NA19436,48.54556899999999,0.015170490312499998
NA19457_NA19457,NA19472_NA19472,48.396365,0.0151238640625
NA19451_NA19451,NA19457_NA19457,48.33667,0.015105209375
NA19443_NA19443,NA19451_NA19451,48.29636,0.0150926125
