pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19461', 'NA19474')",194.347845,NA19461,NA19474,0.0607337015625
"('NA19376', 'NA19397')",194.312372,NA19376,NA19397,0.06072261625
"('NA19429', 'NA19446')",194.278708,NA19429,NA19446,0.06071209625
"('NA19371', 'NA19453')",194.138907,NA19371,NA19453,0.060668408437499995
"('NA19041', 'NA19468')",194.1088,NA19041,NA19468,0.060659
"('NA19313', 'NA19351')",193.337776,NA19313,NA19351,0.060418055
"('NA19020', 'NA19468')",193.295411,NA19020,NA19468,0.0604048159375
"('NA19324', 'NA19391')",193.187374,NA19324,NA19391,0.060371054375000004
"('NA19351', 'NA19446')",192.816367,NA19351,NA19446,0.06025511468750001
"('NA19382', 'NA19453')",192.794554,NA19382,NA19453,0.060248298125
"('NA19041', 'NA19397')",192.771024,NA19041,NA19397,0.060240945000000004
"('NA19307', 'NA19434')",192.521694,NA19307,NA19434,0.060163029374999996
"('NA19453', 'NA19461')",192.37731,NA19453,NA19461,0.060117909375
"('NA19374', 'NA19384')",191.807819,NA19374,NA19384,0.0599399434375
"('NA19359', 'NA19474')",191.706158,NA19359,NA19474,0.059908174375
"('NA19374', 'NA19474')",191.161385,NA19374,NA19474,0.0597379328125
"('NA19308', 'NA19444')",190.933372,NA19308,NA19444,0.05966667875
"('NA19046', 'NA19376')",190.916965,NA19046,NA19376,0.0596615515625
"('NA19391', 'NA19466')",190.882321,NA19391,NA19466,0.0596507253125
"('NA19038', 'NA19397')",190.877101,NA19038,NA19397,0.059649094062500005
"('NA19318', 'NA19376')",190.83955,NA19318,NA19376,0.059637359375000004
"('NA19395', 'NA19466')",190.782815,NA19395,NA19466,0.0596196296875
"('NA19395', 'NA19467')",190.414198,NA19395,NA19467,0.059504436875
"('NA19468', 'NA19472')",190.40097300000002,NA19468,NA19472,0.05950030406250001
"('NA19359', 'NA19453')",190.387569,NA19359,NA19453,0.05949611531250001
"('NA19395', 'NA19430')",190.262586,NA19395,NA19430,0.059457058125
"('NA19398', 'NA19443')",190.169141,NA19398,NA19443,0.0594278565625
"('NA19453', 'NA19466')",190.001654,NA19453,NA19466,0.059375516875
"('NA19461', 'NA19462')",189.905797,NA19461,NA19462,0.0593455615625
"('NA19035', 'NA19350')",189.902889,NA19035,NA19350,0.059344652812499996
"('NA19384', 'NA19435')",189.705407,NA19384,NA19435,0.0592829396875
"('NA19327', 'NA19474')",189.579027,NA19327,NA19474,0.0592434459375
"('NA19452', 'NA19461')",189.390648,NA19452,NA19461,0.0591845775
"('NA19041', 'NA19382')",189.379588,NA19041,NA19382,0.05918112125
"('NA19404', 'NA19448')",189.313131,NA19404,NA19448,0.0591603534375
"('NA19331', 'NA19444')",189.312112,NA19331,NA19444,0.05916003500000001
"('NA19375', 'NA19437')",189.216642,NA19375,NA19437,0.059130200625000004
"('NA19375', 'NA19384')",189.195864,NA19375,NA19384,0.0591237075
"('NA19403', 'NA19461')",188.974533,NA19403,NA19461,0.0590545415625
"('NA19466', 'NA19473')",188.94461,NA19466,NA19473,0.059045190625
"('NA19380', 'NA19462')",188.926893,NA19380,NA19462,0.0590396540625
"('NA19390', 'NA19443')",188.908904,NA19390,NA19443,0.0590340325
"('NA19377', 'NA19382')",188.754108,NA19377,NA19382,0.05898565875
"('NA19041', 'NA19331')",188.69514,NA19041,NA19331,0.05896723125
"('NA19028', 'NA19466')",188.635555,NA19028,NA19466,0.05894861093750001
"('NA19327', 'NA19347')",188.633776,NA19327,NA19347,0.058948055000000006
"('NA19382', 'NA19461')",188.59675099999998,NA19382,NA19461,0.05893648468749999
"('NA19462', 'NA19469')",188.420094,NA19462,NA19469,0.058881279375000005
"('NA19328', 'NA19380')",188.41165,NA19328,NA19380,0.058878640625000006
"('NA19403', 'NA19462')",188.364374,NA19403,NA19462,0.058863866875
"('NA19381', 'NA19437')",188.357278,NA19381,NA19437,0.058861649375000005
"('NA19308', 'NA19375')",188.349353,NA19308,NA19375,0.0588591728125
"('NA19312', 'NA19453')",188.341987,NA19312,NA19453,0.0588568709375
"('NA19038', 'NA19462')",188.329523,NA19038,NA19462,0.058852975937499996
"('NA19359', 'NA19456')",188.328802,NA19359,NA19456,0.058852750625
"('NA19446', 'NA19461')",188.03101700000002,NA19446,NA19461,0.05875969281250001
"('NA19312', 'NA19403')",187.88396600000002,NA19312,NA19403,0.058713739375000004
"('NA19377', 'NA19466')",187.81383,NA19377,NA19466,0.058691821875
"('NA19391', 'NA19448')",187.79355,NA19391,NA19448,0.058685484375000006
"('NA19307', 'NA19352')",187.722053,NA19307,NA19352,0.05866314156249999
"('NA19403', 'NA19473')",187.720104,NA19403,NA19473,0.058662532499999996
"('NA19038', 'NA19466')",187.70593,NA19038,NA19466,0.058658103125
"('NA19446', 'NA19468')",187.692116,NA19446,NA19468,0.05865378625
"('NA19311', 'NA19451')",187.31617,NA19311,NA19451,0.058536303125
"('NA19308', 'NA19428')",187.194805,NA19308,NA19428,0.0584983765625
"('NA19311', 'NA19429')",187.041251,NA19311,NA19429,0.0584503909375
"('NA19379', 'NA19382')",187.018342,NA19379,NA19382,0.058443231874999994
"('NA19383', 'NA19394')",186.89662,NA19383,NA19394,0.05840519375
"('NA19317', 'NA19461')",186.888479,NA19317,NA19461,0.058402649687499995
"('NA19446', 'NA19474')",186.83673,NA19446,NA19474,0.058386478124999995
"('NA19383', 'NA19391')",186.536146,NA19383,NA19391,0.058292545625
"('NA19446', 'NA19455')",186.361307,NA19446,NA19455,0.058237908437500006
"('NA19382', 'NA19396')",186.34893,NA19382,NA19396,0.058234040625
"('NA19352', 'NA19382')",186.207607,NA19352,NA19382,0.058189877187499996
"('NA19350', 'NA19449')",186.118575,NA19350,NA19449,0.0581620546875
