IID1	IID2	PI_HAT	relationship
NA19028	NA19431	0.0404	unrelated
NA19028	NA19434	0.0426	unrelated
NA19028	NA19435	0.0348	unrelated
NA19028	NA19436	0.0412	unrelated
NA19028	NA19437	0.0355	unrelated
NA19028	NA19438	0.0399	unrelated
NA19028	NA19439	0.0415	unrelated
NA19028	NA19440	0.0373	unrelated
NA19028	NA19443	0.0376	unrelated
NA19028	NA19444	0.0452	unrelated
NA19028	NA19445	0.0407	unrelated
NA19028	NA19446	0.0416	unrelated
NA19028	NA19448	0.0437	unrelated
NA19028	NA19449	0.0451	unrelated
NA19028	NA19451	0.0381	unrelated
NA19028	NA19452	0.0435	unrelated
NA19028	NA19453	0.0418	unrelated
NA19028	NA19455	0.0348	unrelated
NA19028	NA19456	0.0554	unrelated
NA19028	NA19457	0.0408	unrelated
NA19028	NA19461	0.0378	unrelated
NA19028	NA19462	0.0431	unrelated
NA19028	NA19463	0.0439	unrelated
NA19028	NA19466	0.0402	unrelated
NA19028	NA19467	0.0377	unrelated
NA19028	NA19468	0.0401	unrelated
NA19028	NA19469	0.0415	unrelated
NA19028	NA19470	0.0404	unrelated
NA19028	NA19471	0.0391	unrelated
NA19028	NA19472	0.0379	unrelated
NA19028	NA19473	0.039	unrelated
NA19028	NA19474	0.0424	unrelated
NA19035	NA19036	0.0423	unrelated
NA19035	NA19038	0.0441	unrelated
NA19035	NA19041	0.0406	unrelated
NA19035	NA19044	0.0422	unrelated
NA19035	NA19046	0.0447	unrelated
NA19035	NA19307	0.041	unrelated
NA19035	NA19308	0.0644	unrelated
NA19035	NA19309	0.0498	unrelated
NA19035	NA19310	0.0507	unrelated
NA19035	NA19311	0.036	unrelated
NA19035	NA19312	0.0403	unrelated
NA19035	NA19313	0.0445	unrelated
NA19035	NA19315	0.0369	unrelated
NA19035	NA19316	0.0406	unrelated
NA19035	NA19317	0.0429	unrelated
NA19035	NA19318	0.0448	unrelated
NA19035	NA19319	0.0382	unrelated
NA19035	NA19321	0.0547	unrelated
NA19035	NA19324	0.0418	unrelated
NA19035	NA19327	0.0446	unrelated
NA19035	NA19328	0.0493	unrelated
NA19035	NA19331	0.0457	unrelated
NA19035	NA19332	0.0407	unrelated
NA19035	NA19334	0.0428	unrelated
NA19035	NA19338	0.0423	unrelated
NA19035	NA19346	0.0421	unrelated
NA19035	NA19347	0.0409	unrelated
NA19035	NA19350	0.0448	unrelated
NA19035	NA19351	0.0452	unrelated
NA19035	NA19352	0.0421	unrelated
NA19035	NA19355	0.0496	unrelated
NA19035	NA19359	0.0491	unrelated
NA19035	NA19360	0.0422	unrelated
NA19035	NA19371	0.0383	unrelated
NA19035	NA19372	0.044	unrelated
NA19035	NA19373	0.0462	unrelated
NA19035	NA19374	0.0463	unrelated
NA19035	NA19375	0.0448	unrelated
NA19035	NA19376	0.0475	unrelated
NA19035	NA19377	0.0427	unrelated
NA19035	NA19379	0.0403	unrelated
NA19035	NA19380	0.0398	unrelated
NA19035	NA19381	0.0452	unrelated
NA19035	NA19382	0.0439	unrelated
NA19035	NA19383	0.0428	unrelated
NA19035	NA19384	0.0426	unrelated
NA19035	NA19385	0.0341	unrelated
NA19035	NA19390	0.041	unrelated
NA19035	NA19391	0.0447	unrelated
NA19035	NA19393	0.0415	unrelated
NA19035	NA19394	0.0432	unrelated
NA19035	NA19395	0.0415	unrelated
NA19035	NA19396	0.0452	unrelated
NA19035	NA19397	0.048	unrelated
NA19035	NA19398	0.0415	unrelated
NA19035	NA19399	0.0482	unrelated
NA19035	NA19401	0.0408	unrelated
NA19035	NA19403	0.0419	unrelated
NA19035	NA19404	0.0456	unrelated
NA19035	NA19428	0.0431	unrelated
NA19035	NA19429	0.0403	unrelated
NA19035	NA19430	0.0411	unrelated
NA19035	NA19431	0.0471	unrelated
NA19035	NA19434	0.0405	unrelated
NA19035	NA19435	0.0425	unrelated
NA19035	NA19436	0.0477	unrelated
NA19035	NA19437	0.0394	unrelated
NA19035	NA19438	0.0423	unrelated
NA19035	NA19439	0.0457	unrelated
NA19035	NA19440	0.0413	unrelated
NA19035	NA19443	0.044	unrelated
NA19035	NA19444	0.0373	unrelated
NA19035	NA19445	0.0412	unrelated
NA19035	NA19446	0.0441	unrelated
NA19035	NA19448	0.042	unrelated
NA19035	NA19449	0.047	unrelated
NA19035	NA19451	0.0465	unrelated
NA19035	NA19452	0.0434	unrelated
NA19035	NA19453	0.0446	unrelated
NA19035	NA19455	0.042	unrelated
NA19035	NA19456	0.0413	unrelated
NA19035	NA19457	0.0419	unrelated
NA19035	NA19461	0.0423	unrelated
NA19035	NA19462	0.0431	unrelated
NA19035	NA19463	0.0485	unrelated
NA19035	NA19466	0.0402	unrelated
NA19035	NA19467	0.0536	unrelated
NA19035	NA19468	0.0381	unrelated
NA19035	NA19469	0.0407	unrelated
NA19035	NA19470	0.0412	unrelated
NA19035	NA19471	0.042	unrelated
NA19035	NA19472	0.0434	unrelated
NA19035	NA19473	0.0452	unrelated
NA19035	NA19474	0.0432	unrelated
NA19036	NA19038	0.0399	unrelated
NA19036	NA19041	0.0382	unrelated
NA19036	NA19044	0.0421	unrelated
NA19036	NA19046	0.0463	unrelated
NA19036	NA19307	0.045	unrelated
NA19036	NA19308	0.0398	unrelated
NA19036	NA19309	0.0395	unrelated
NA19036	NA19310	0.0472	unrelated
NA19036	NA19311	0.0382	unrelated
NA19036	NA19312	0.0436	unrelated
NA19036	NA19313	0.0422	unrelated
NA19036	NA19315	0.0403	unrelated
NA19036	NA19316	0.0437	unrelated
NA19036	NA19317	0.0477	unrelated
NA19036	NA19318	0.0438	unrelated
NA19036	NA19319	0.0406	unrelated
NA19036	NA19321	0.0425	unrelated
NA19036	NA19324	0.041	unrelated
NA19036	NA19327	0.0387	unrelated
NA19036	NA19328	0.0463	unrelated
NA19036	NA19331	0.0452	unrelated
NA19036	NA19332	0.039	unrelated
NA19036	NA19334	0.0421	unrelated
NA19036	NA19338	0.0453	unrelated
NA19036	NA19346	0.0473	unrelated
NA19036	NA19347	0.0406	unrelated
NA19036	NA19350	0.0469	unrelated
NA19036	NA19351	0.0409	unrelated
NA19036	NA19352	0.0487	unrelated
NA19036	NA19355	0.0483	unrelated
NA19036	NA19359	0.0454	unrelated
NA19036	NA19360	0.0404	unrelated
NA19036	NA19371	0.0435	unrelated
NA19036	NA19372	0.0388	unrelated
NA19036	NA19373	0.0466	unrelated
NA19036	NA19374	0.0464	unrelated
NA19036	NA19375	0.044	unrelated
NA19036	NA19376	0.052	unrelated
NA19036	NA19377	0.0444	unrelated
NA19036	NA19379	0.0472	unrelated
NA19036	NA19380	0.0411	unrelated
NA19036	NA19381	0.0399	unrelated
NA19036	NA19382	0.0423	unrelated
NA19036	NA19383	0.0477	unrelated
NA19036	NA19384	0.0447	unrelated
NA19036	NA19385	0.0387	unrelated
NA19036	NA19390	0.0417	unrelated
NA19036	NA19391	0.044	unrelated
NA19036	NA19393	0.0482	unrelated
NA19036	NA19394	0.0424	unrelated
NA19036	NA19395	0.0442	unrelated
NA19036	NA19396	0.0521	unrelated
NA19036	NA19397	0.044	unrelated
NA19036	NA19398	0.0427	unrelated
NA19036	NA19399	0.0468	unrelated
NA19036	NA19401	0.0475	unrelated
NA19036	NA19403	0.0431	unrelated
NA19036	NA19404	0.0442	unrelated
NA19036	NA19428	0.0481	unrelated
NA19036	NA19429	0.0471	unrelated
NA19036	NA19430	0.0491	unrelated
NA19036	NA19431	0.0423	unrelated
NA19036	NA19434	0.0429	unrelated
NA19036	NA19435	0.0419	unrelated
NA19036	NA19436	0.0551	unrelated
NA19036	NA19437	0.0352	unrelated
NA19036	NA19438	0.0391	unrelated
NA19036	NA19439	0.0404	unrelated
NA19036	NA19440	0.0424	unrelated
NA19036	NA19443	0.0428	unrelated
NA19036	NA19444	0.0462	unrelated
NA19036	NA19445	0.0432	unrelated
NA19036	NA19446	0.0489	unrelated
NA19036	NA19448	0.0383	unrelated
NA19036	NA19449	0.0496	unrelated
NA19036	NA19451	0.0423	unrelated
NA19036	NA19452	0.0443	unrelated
NA19036	NA19453	0.0432	unrelated
NA19036	NA19455	0.0436	unrelated
NA19036	NA19456	0.0444	unrelated
NA19036	NA19457	0.0422	unrelated
NA19036	NA19461	0.0416	unrelated
NA19036	NA19462	0.0431	unrelated
NA19036	NA19463	0.0481	unrelated
NA19036	NA19466	0.0439	unrelated
NA19036	NA19467	0.0363	unrelated
NA19036	NA19468	0.0428	unrelated
NA19036	NA19469	0.0435	unrelated
NA19036	NA19470	0.0375	unrelated
NA19036	NA19471	0.0379	unrelated
NA19036	NA19472	0.0393	unrelated
NA19036	NA19473	0.0441	unrelated
NA19036	NA19474	0.042	unrelated
NA19038	NA19041	0.0418	unrelated
NA19038	NA19044	0.0429	unrelated
NA19038	NA19046	0.0448	unrelated
NA19038	NA19307	0.0422	unrelated
NA19038	NA19308	0.0425	unrelated
NA19038	NA19309	0.0473	unrelated
NA19038	NA19310	0.0453	unrelated
NA19038	NA19311	0.0413	unrelated
NA19038	NA19312	0.0454	unrelated
NA19038	NA19313	0.0471	unrelated
NA19038	NA19315	0.0415	unrelated
NA19038	NA19316	0.0443	unrelated
NA19038	NA19317	0.0462	unrelated
NA19038	NA19318	0.0431	unrelated
