IID1	IID2	PI_HAT	relationship
NA19046	NA19397	0.0891	unrelated
NA19046	NA19398	0.0443	unrelated
NA19046	NA19399	0.0458	unrelated
NA19046	NA19401	0.04	unrelated
NA19046	NA19403	0.0402	unrelated
NA19046	NA19404	0.0465	unrelated
NA19046	NA19428	0.045	unrelated
NA19046	NA19429	0.0416	unrelated
NA19046	NA19430	0.0457	unrelated
NA19046	NA19431	0.0457	unrelated
NA19046	NA19434	0.0445	unrelated
NA19046	NA19435	0.0401	unrelated
NA19046	NA19436	0.0458	unrelated
NA19046	NA19437	0.0456	unrelated
NA19046	NA19438	0.0427	unrelated
NA19046	NA19439	0.0432	unrelated
NA19046	NA19440	0.0473	unrelated
NA19046	NA19443	0.0436	unrelated
NA19046	NA19444	0.0399	unrelated
NA19046	NA19445	0.0448	unrelated
NA19046	NA19446	0.046	unrelated
NA19046	NA19448	0.0426	unrelated
NA19046	NA19449	0.049	unrelated
NA19046	NA19451	0.0487	unrelated
NA19046	NA19452	0.039	unrelated
NA19046	NA19453	0.0433	unrelated
NA19046	NA19455	0.0377	unrelated
NA19046	NA19456	0.0426	unrelated
NA19046	NA19457	0.0496	unrelated
NA19046	NA19461	0.049	unrelated
NA19046	NA19462	0.0454	unrelated
NA19046	NA19463	0.0458	unrelated
NA19046	NA19466	0.0475	unrelated
NA19046	NA19467	0.0401	unrelated
NA19046	NA19468	0.0409	unrelated
NA19046	NA19469	0.0379	unrelated
NA19046	NA19470	0.0447	unrelated
NA19046	NA19471	0.0422	unrelated
NA19046	NA19472	0.0424	unrelated
NA19046	NA19473	0.0465	unrelated
NA19046	NA19474	0.0385	unrelated
NA19307	NA19308	0.0461	unrelated
NA19307	NA19309	0.0491	unrelated
NA19307	NA19310	0.0441	unrelated
NA19307	NA19311	0.0371	unrelated
NA19307	NA19312	0.1657	related
NA19307	NA19313	0.0412	unrelated
NA19307	NA19315	0.039	unrelated
NA19307	NA19316	0.079	unrelated
NA19307	NA19317	0.0395	unrelated
NA19307	NA19318	0.0454	unrelated
NA19307	NA19319	0.0497	unrelated
NA19307	NA19321	0.0748	unrelated
NA19307	NA19324	0.0443	unrelated
NA19307	NA19327	0.0396	unrelated
NA19307	NA19328	0.0544	unrelated
NA19307	NA19331	0.0393	unrelated
NA19307	NA19332	0.0441	unrelated
NA19307	NA19334	0.048	unrelated
NA19307	NA19338	0.0503	unrelated
NA19307	NA19346	0.0482	unrelated
NA19307	NA19347	0.0413	unrelated
NA19307	NA19350	0.0383	unrelated
NA19307	NA19351	0.0478	unrelated
NA19307	NA19352	0.0413	unrelated
NA19307	NA19355	0.062	unrelated
NA19307	NA19359	0.0504	unrelated
NA19307	NA19360	0.0665	unrelated
NA19307	NA19371	0.0425	unrelated
NA19307	NA19372	0.0364	unrelated
NA19307	NA19373	0.0458	unrelated
NA19307	NA19374	0.0427	unrelated
NA19307	NA19375	0.0432	unrelated
NA19307	NA19376	0.05	unrelated
NA19307	NA19377	0.0451	unrelated
NA19307	NA19379	0.0466	unrelated
NA19307	NA19380	0.0405	unrelated
NA19307	NA19381	0.0433	unrelated
NA19307	NA19382	0.0371	unrelated
NA19307	NA19383	0.0432	unrelated
NA19307	NA19384	0.0478	unrelated
NA19307	NA19385	0.0379	unrelated
NA19307	NA19390	0.0434	unrelated
NA19307	NA19391	0.0485	unrelated
NA19307	NA19393	0.0564	unrelated
NA19307	NA19394	0.0476	unrelated
NA19307	NA19395	0.0445	unrelated
NA19307	NA19396	0.0456	unrelated
NA19307	NA19397	0.048	unrelated
NA19307	NA19398	0.0407	unrelated
NA19307	NA19399	0.0444	unrelated
NA19307	NA19401	0.0414	unrelated
NA19307	NA19403	0.0364	unrelated
NA19307	NA19404	0.0446	unrelated
NA19307	NA19428	0.0423	unrelated
NA19307	NA19429	0.0458	unrelated
NA19307	NA19430	0.0416	unrelated
NA19307	NA19431	0.0472	unrelated
NA19307	NA19434	0.0705	unrelated
NA19307	NA19435	0.039	unrelated
NA19307	NA19436	0.0469	unrelated
NA19307	NA19437	0.0395	unrelated
NA19307	NA19438	0.0539	unrelated
NA19307	NA19439	0.0456	unrelated
NA19307	NA19440	0.0471	unrelated
NA19307	NA19443	0.0398	unrelated
NA19307	NA19444	0.0654	unrelated
NA19307	NA19445	0.0413	unrelated
NA19307	NA19446	0.0444	unrelated
NA19307	NA19448	0.0402	unrelated
NA19307	NA19449	0.0489	unrelated
NA19307	NA19451	0.047	unrelated
NA19307	NA19452	0.0441	unrelated
NA19307	NA19453	0.0375	unrelated
NA19307	NA19455	0.0423	unrelated
NA19307	NA19456	0.0446	unrelated
NA19307	NA19457	0.0451	unrelated
NA19307	NA19461	0.0472	unrelated
NA19307	NA19462	0.0393	unrelated
NA19307	NA19463	0.0487	unrelated
NA19307	NA19466	0.0496	unrelated
NA19307	NA19467	0.0409	unrelated
NA19307	NA19468	0.0469	unrelated
NA19307	NA19469	0.0438	unrelated
NA19307	NA19470	0.0421	unrelated
NA19307	NA19471	0.0477	unrelated
NA19307	NA19472	0.0374	unrelated
NA19307	NA19473	0.0451	unrelated
NA19307	NA19474	0.0442	unrelated
NA19308	NA19309	0.049	unrelated
NA19308	NA19310	0.0377	unrelated
NA19308	NA19311	0.0427	unrelated
NA19308	NA19312	0.0457	unrelated
NA19308	NA19313	0.0458	unrelated
NA19308	NA19315	0.0408	unrelated
NA19308	NA19316	0.0494	unrelated
NA19308	NA19317	0.0464	unrelated
NA19308	NA19318	0.0398	unrelated
NA19308	NA19319	0.0417	unrelated
NA19308	NA19321	0.0422	unrelated
NA19308	NA19324	0.0436	unrelated
NA19308	NA19327	0.0402	unrelated
NA19308	NA19328	0.0451	unrelated
NA19308	NA19331	0.05	unrelated
NA19308	NA19332	0.0432	unrelated
NA19308	NA19334	0.0442	unrelated
NA19308	NA19338	0.0475	unrelated
NA19308	NA19346	0.0431	unrelated
NA19308	NA19347	0.0389	unrelated
NA19308	NA19350	0.0535	unrelated
NA19308	NA19351	0.0512	unrelated
NA19308	NA19352	0.0443	unrelated
NA19308	NA19355	0.0458	unrelated
NA19308	NA19359	0.0508	unrelated
NA19308	NA19360	0.0423	unrelated
NA19308	NA19371	0.0421	unrelated
NA19308	NA19372	0.0486	unrelated
NA19308	NA19373	0.0468	unrelated
NA19308	NA19374	0.0431	unrelated
NA19308	NA19375	0.0488	unrelated
NA19308	NA19376	0.0503	unrelated
NA19308	NA19377	0.0467	unrelated
NA19308	NA19379	0.0461	unrelated
NA19308	NA19380	0.0383	unrelated
NA19308	NA19381	0.0355	unrelated
NA19308	NA19382	0.0385	unrelated
NA19308	NA19383	0.0457	unrelated
NA19308	NA19384	0.0506	unrelated
NA19308	NA19385	0.0473	unrelated
NA19308	NA19390	0.0415	unrelated
NA19308	NA19391	0.0527	unrelated
NA19308	NA19393	0.0528	unrelated
NA19308	NA19394	0.046	unrelated
NA19308	NA19395	0.0468	unrelated
NA19308	NA19396	0.0576	unrelated
NA19308	NA19397	0.054	unrelated
NA19308	NA19398	0.0502	unrelated
NA19308	NA19399	0.0415	unrelated
NA19308	NA19401	0.037	unrelated
NA19308	NA19403	0.0382	unrelated
NA19308	NA19404	0.0663	unrelated
NA19308	NA19428	0.0473	unrelated
NA19308	NA19429	0.0426	unrelated
NA19308	NA19430	0.041	unrelated
NA19308	NA19431	0.0419	unrelated
NA19308	NA19434	0.0444	unrelated
NA19308	NA19435	0.0408	unrelated
NA19308	NA19436	0.0507	unrelated
NA19308	NA19437	0.0396	unrelated
NA19308	NA19438	0.0458	unrelated
NA19308	NA19439	0.0518	unrelated
NA19308	NA19440	0.0451	unrelated
NA19308	NA19443	0.0392	unrelated
NA19308	NA19444	0.043	unrelated
NA19308	NA19445	0.0369	unrelated
NA19308	NA19446	0.0455	unrelated
NA19308	NA19448	0.037	unrelated
NA19308	NA19449	0.0534	unrelated
NA19308	NA19451	0.0413	unrelated
NA19308	NA19452	0.0393	unrelated
NA19308	NA19453	0.038	unrelated
NA19308	NA19455	0.0432	unrelated
NA19308	NA19456	0.0478	unrelated
NA19308	NA19457	0.0407	unrelated
NA19308	NA19461	0.0429	unrelated
NA19308	NA19462	0.0442	unrelated
NA19308	NA19463	0.044	unrelated
NA19308	NA19466	0.0536	unrelated
NA19308	NA19467	0.0493	unrelated
NA19308	NA19468	0.0399	unrelated
NA19308	NA19469	0.0387	unrelated
NA19308	NA19470	0.0402	unrelated
NA19308	NA19471	0.0449	unrelated
NA19308	NA19472	0.0397	unrelated
NA19308	NA19473	0.0424	unrelated
NA19308	NA19474	0.0435	unrelated
NA19309	NA19310	0.0404	unrelated
NA19309	NA19311	0.0405	unrelated
NA19309	NA19312	0.0459	unrelated
NA19309	NA19313	0.0409	unrelated
NA19309	NA19315	0.0398	unrelated
NA19309	NA19316	0.0499	unrelated
NA19309	NA19317	0.0449	unrelated
NA19309	NA19318	0.0434	unrelated
NA19309	NA19319	0.0402	unrelated
NA19309	NA19321	0.0466	unrelated
NA19309	NA19324	0.0414	unrelated
NA19309	NA19327	0.0383	unrelated
NA19309	NA19328	0.0531	unrelated
NA19309	NA19331	0.0403	unrelated
NA19309	NA19332	0.05	unrelated
NA19309	NA19334	0.0433	unrelated
NA19309	NA19338	0.0411	unrelated
NA19309	NA19346	0.0455	unrelated
NA19309	NA19347	0.0451	unrelated
NA19309	NA19350	0.0424	unrelated
NA19309	NA19351	0.0465	unrelated
NA19309	NA19352	0.0433	unrelated
NA19309	NA19355	0.0421	unrelated
NA19309	NA19359	0.1969	related
NA19309	NA19360	0.0477	unrelated
NA19309	NA19371	0.0421	unrelated
NA19309	NA19372	0.0457	unrelated
NA19309	NA19373	0.0541	unrelated
NA19309	NA19374	0.0574	unrelated
NA19309	NA19375	0.0388	unrelated
NA19309	NA19376	0.0513	unrelated
NA19309	NA19377	0.0432	unrelated
NA19309	NA19379	0.0443	unrelated
NA19309	NA19380	0.0453	unrelated
NA19309	NA19381	0.0386	unrelated
NA19309	NA19382	0.0428	unrelated
NA19309	NA19383	0.0462	unrelated
NA19309	NA19384	0.0446	unrelated
NA19309	NA19385	0.0369	unrelated
NA19309	NA19390	0.0463	unrelated
NA19309	NA19391	0.0507	unrelated
NA19309	NA19393	0.041	unrelated
NA19309	NA19394	0.0425	unrelated
NA19309	NA19395	0.0498	unrelated
NA19309	NA19396	0.0462	unrelated
NA19309	NA19397	0.0504	unrelated
NA19309	NA19398	0.0426	unrelated
NA19309	NA19399	0.045	unrelated
NA19309	NA19401	0.047	unrelated
NA19309	NA19403	0.0392	unrelated
NA19309	NA19404	0.0425	unrelated
NA19309	NA19428	0.0417	unrelated
NA19309	NA19429	0.0403	unrelated
NA19309	NA19430	0.0462	unrelated
NA19309	NA19431	0.0426	unrelated
NA19309	NA19434	0.0427	unrelated
NA19309	NA19435	0.0478	unrelated
NA19309	NA19436	0.0564	unrelated
NA19309	NA19437	0.0376	unrelated
NA19309	NA19438	0.0532	unrelated
NA19309	NA19439	0.0434	unrelated
NA19309	NA19440	0.0445	unrelated
NA19309	NA19443	0.0426	unrelated
NA19309	NA19444	0.0448	unrelated
NA19309	NA19445	0.0442	unrelated
NA19309	NA19446	0.0472	unrelated
NA19309	NA19448	0.0406	unrelated
NA19309	NA19449	0.0473	unrelated
NA19309	NA19451	0.0483	unrelated
NA19309	NA19452	0.0436	unrelated
NA19309	NA19453	0.0443	unrelated
NA19309	NA19455	0.0404	unrelated
NA19309	NA19456	0.0394	unrelated
NA19309	NA19457	0.0429	unrelated
NA19309	NA19461	0.0496	unrelated
NA19309	NA19462	0.0428	unrelated
NA19309	NA19463	0.0449	unrelated
NA19309	NA19466	0.0411	unrelated
NA19309	NA19467	0.0482	unrelated
NA19309	NA19468	0.044	unrelated
NA19309	NA19469	0.0464	unrelated
NA19309	NA19470	0.0442	unrelated
NA19309	NA19471	0.0394	unrelated
NA19309	NA19472	0.0355	unrelated
NA19309	NA19473	0.0452	unrelated
NA19309	NA19474	0.0423	unrelated
NA19310	NA19311	0.0457	unrelated
NA19310	NA19312	0.0459	unrelated
NA19310	NA19313	0.0438	unrelated
NA19310	NA19315	0.0451	unrelated
NA19310	NA19316	0.0437	unrelated
NA19310	NA19317	0.0427	unrelated
NA19310	NA19318	0.0423	unrelated
NA19310	NA19319	0.0468	unrelated
NA19310	NA19321	0.0457	unrelated
NA19310	NA19324	0.0436	unrelated
NA19310	NA19327	0.0402	unrelated
NA19310	NA19328	0.0529	unrelated
NA19310	NA19331	0.0445	unrelated
NA19310	NA19332	0.0408	unrelated
NA19310	NA19334	0.0452	unrelated
NA19310	NA19338	0.0506	unrelated
NA19310	NA19346	0.0445	unrelated
NA19310	NA19347	0.0407	unrelated
NA19310	NA19350	0.0457	unrelated
NA19310	NA19351	0.0438	unrelated
NA19310	NA19352	0.0494	unrelated
NA19310	NA19355	0.0431	unrelated
NA19310	NA19359	0.0438	unrelated
NA19310	NA19360	0.0446	unrelated
NA19310	NA19371	0.0443	unrelated
NA19310	NA19372	0.0489	unrelated
NA19310	NA19373	0.0547	unrelated
NA19310	NA19374	0.0447	unrelated
NA19310	NA19375	0.0432	unrelated
NA19310	NA19376	0.047	unrelated
NA19310	NA19377	0.0422	unrelated
NA19310	NA19379	0.0469	unrelated
NA19310	NA19380	0.0456	unrelated
NA19310	NA19381	0.0438	unrelated
NA19310	NA19382	0.0431	unrelated
NA19310	NA19383	0.0474	unrelated
NA19310	NA19384	0.0552	unrelated
NA19310	NA19385	0.0399	unrelated
NA19310	NA19390	0.048	unrelated
NA19310	NA19391	0.0475	unrelated
NA19310	NA19393	0.0446	unrelated
NA19310	NA19394	0.0502	unrelated
NA19310	NA19395	0.0416	unrelated
NA19310	NA19396	0.0534	unrelated
NA19310	NA19397	0.0499	unrelated
NA19310	NA19398	0.0435	unrelated
NA19310	NA19399	0.0454	unrelated
NA19310	NA19401	0.0437	unrelated
NA19310	NA19403	0.0408	unrelated
NA19310	NA19404	0.0445	unrelated
NA19310	NA19428	0.0565	unrelated
NA19310	NA19429	0.0442	unrelated
NA19310	NA19430	0.0452	unrelated
NA19310	NA19431	0.0503	unrelated
NA19310	NA19434	0.0418	unrelated
NA19310	NA19435	0.0398	unrelated
NA19310	NA19436	0.0511	unrelated
NA19310	NA19437	0.0419	unrelated
NA19310	NA19438	0.0431	unrelated
NA19310	NA19439	0.045	unrelated
NA19310	NA19440	0.0435	unrelated
NA19310	NA19443	0.0444	unrelated
NA19310	NA19444	0.0421	unrelated
NA19310	NA19445	0.0462	unrelated
NA19310	NA19446	0.0463	unrelated
NA19310	NA19448	0.042	unrelated
NA19310	NA19449	0.0504	unrelated
NA19310	NA19451	0.0496	unrelated
NA19310	NA19452	0.0438	unrelated
NA19310	NA19453	0.0495	unrelated
NA19310	NA19455	0.0457	unrelated
NA19310	NA19456	0.0558	unrelated
NA19310	NA19457	0.0421	unrelated
NA19310	NA19461	0.044	unrelated
NA19310	NA19462	0.048	unrelated
NA19310	NA19463	0.0433	unrelated
NA19310	NA19466	0.0443	unrelated
NA19310	NA19467	0.0408	unrelated
NA19310	NA19468	0.0433	unrelated
NA19310	NA19469	0.0442	unrelated
NA19310	NA19470	0.0465	unrelated
NA19310	NA19471	0.0432	unrelated
NA19310	NA19472	0.0427	unrelated
NA19310	NA19473	0.0429	unrelated
NA19310	NA19474	0.0408	unrelated
NA19311	NA19312	0.0367	unrelated
NA19311	NA19313	0.0388	unrelated
NA19311	NA19315	0.0363	unrelated
NA19311	NA19316	0.042	unrelated
NA19311	NA19317	0.0427	unrelated
NA19311	NA19318	0.0379	unrelated
NA19311	NA19319	0.0391	unrelated
NA19311	NA19321	0.036	unrelated
NA19311	NA19324	0.0318	unrelated
NA19311	NA19327	0.0389	unrelated
NA19311	NA19328	0.0498	unrelated
NA19311	NA19331	0.0419	unrelated
NA19311	NA19332	0.04	unrelated
NA19311	NA19334	0.0426	unrelated
NA19311	NA19338	0.0488	unrelated
NA19311	NA19346	0.04	unrelated
NA19311	NA19347	0.0415	unrelated
NA19311	NA19350	0.0814	unrelated
NA19311	NA19351	0.0434	unrelated
NA19311	NA19352	0.0415	unrelated
NA19311	NA19355	0.0408	unrelated
NA19311	NA19359	0.0391	unrelated
NA19311	NA19360	0.0422	unrelated
NA19311	NA19371	0.0389	unrelated
NA19311	NA19372	0.036	unrelated
NA19311	NA19373	0.0375	unrelated
NA19311	NA19374	0.0371	unrelated
NA19311	NA19375	0.0331	unrelated
NA19311	NA19376	0.0535	unrelated
NA19311	NA19377	0.0384	unrelated
NA19311	NA19379	0.0468	unrelated
NA19311	NA19380	0.035	unrelated
NA19311	NA19381	0.0382	unrelated
NA19311	NA19382	0.0385	unrelated
NA19311	NA19383	0.0425	unrelated
NA19311	NA19384	0.0426	unrelated
NA19311	NA19385	0.0387	unrelated
NA19311	NA19390	0.0413	unrelated
NA19311	NA19391	0.0442	unrelated
NA19311	NA19393	0.0389	unrelated
NA19311	NA19394	0.0379	unrelated
NA19311	NA19395	0.0401	unrelated
NA19311	NA19396	0.0386	unrelated
NA19311	NA19397	0.0391	unrelated
NA19311	NA19398	0.0436	unrelated
NA19311	NA19399	0.0393	unrelated
NA19311	NA19401	0.0356	unrelated
NA19311	NA19403	0.0379	unrelated
NA19311	NA19404	0.0402	unrelated
NA19311	NA19428	0.0421	unrelated
NA19311	NA19429	0.0321	unrelated
NA19311	NA19430	0.0432	unrelated
NA19311	NA19431	0.0384	unrelated
NA19311	NA19434	0.042	unrelated
NA19311	NA19435	0.0328	unrelated
NA19311	NA19436	0.0384	unrelated
NA19311	NA19437	0.0385	unrelated
NA19311	NA19438	0.0478	unrelated
NA19311	NA19439	0.0426	unrelated
NA19311	NA19440	0.037	unrelated
NA19311	NA19443	0.0395	unrelated
NA19311	NA19444	0.0408	unrelated
NA19311	NA19445	0.038	unrelated
NA19311	NA19446	0.0405	unrelated
NA19311	NA19448	0.0435	unrelated
NA19311	NA19449	0.0403	unrelated
NA19311	NA19451	0.0472	unrelated
NA19311	NA19452	0.0357	unrelated
NA19311	NA19453	0.0345	unrelated
NA19311	NA19455	0.0354	unrelated
NA19311	NA19456	0.0416	unrelated
NA19311	NA19457	0.039	unrelated
NA19311	NA19461	0.0319	unrelated
NA19311	NA19462	0.042	unrelated
NA19311	NA19463	0.0389	unrelated
NA19311	NA19466	0.0359	unrelated
NA19311	NA19467	0.0385	unrelated
NA19311	NA19468	0.0424	unrelated
NA19311	NA19469	0.0372	unrelated
NA19311	NA19470	0.0387	unrelated
NA19311	NA19471	0.0382	unrelated
NA19311	NA19472	0.0439	unrelated
NA19311	NA19473	0.0368	unrelated
NA19311	NA19474	0.0418	unrelated
NA19312	NA19313	0.0465	unrelated
NA19312	NA19315	0.0444	unrelated
NA19312	NA19316	0.0665	unrelated
NA19312	NA19317	0.0472	unrelated
NA19312	NA19318	0.0465	unrelated
NA19312	NA19319	0.0512	unrelated
NA19312	NA19321	0.0457	unrelated
NA19312	NA19324	0.0429	unrelated
NA19312	NA19327	0.0386	unrelated
NA19312	NA19328	0.0532	unrelated
NA19312	NA19331	0.0438	unrelated
NA19312	NA19332	0.0416	unrelated
NA19312	NA19334	0.0406	unrelated
NA19312	NA19338	0.0499	unrelated
NA19312	NA19346	0.0442	unrelated
NA19312	NA19347	0.0429	unrelated
NA19312	NA19350	0.0484	unrelated
NA19312	NA19351	0.0526	unrelated
NA19312	NA19352	0.0461	unrelated
NA19312	NA19355	0.0496	unrelated
NA19312	NA19359	0.0437	unrelated
NA19312	NA19360	0.0524	unrelated
NA19312	NA19371	0.0452	unrelated
NA19312	NA19372	0.0448	unrelated
NA19312	NA19373	0.0502	unrelated
NA19312	NA19374	0.0471	unrelated
NA19312	NA19375	0.0467	unrelated
NA19312	NA19376	0.0484	unrelated
NA19312	NA19377	0.0457	unrelated
NA19312	NA19379	0.0451	unrelated
NA19312	NA19380	0.0443	unrelated
NA19312	NA19381	0.0427	unrelated
NA19312	NA19382	0.0426	unrelated
NA19312	NA19383	0.0476	unrelated
NA19312	NA19384	0.0475	unrelated
NA19312	NA19385	0.0392	unrelated
NA19312	NA19390	0.0478	unrelated
NA19312	NA19391	0.0466	unrelated
NA19312	NA19393	0.0586	unrelated
NA19312	NA19394	0.0426	unrelated
NA19312	NA19395	0.0434	unrelated
NA19312	NA19396	0.0491	unrelated
NA19312	NA19397	0.0497	unrelated
NA19312	NA19398	0.0437	unrelated
NA19312	NA19399	0.045	unrelated
NA19312	NA19401	0.0466	unrelated
NA19312	NA19403	0.0413	unrelated
NA19312	NA19404	0.044	unrelated
NA19312	NA19428	0.0463	unrelated
NA19312	NA19429	0.0433	unrelated
NA19312	NA19430	0.0439	unrelated
NA19312	NA19431	0.0462	unrelated
NA19312	NA19434	0.0487	unrelated
NA19312	NA19435	0.0442	unrelated
NA19312	NA19436	0.0426	unrelated
NA19312	NA19437	0.0437	unrelated
NA19312	NA19438	0.0467	unrelated
NA19312	NA19439	0.0445	unrelated
NA19312	NA19440	0.0466	unrelated
NA19312	NA19443	0.0438	unrelated
NA19312	NA19444	0.0428	unrelated
NA19312	NA19445	0.0426	unrelated
NA19312	NA19446	0.0445	unrelated
NA19312	NA19448	0.0434	unrelated
NA19312	NA19449	0.0424	unrelated
NA19312	NA19451	0.0489	unrelated
NA19312	NA19452	0.0387	unrelated
NA19312	NA19453	0.0468	unrelated
NA19312	NA19455	0.041	unrelated
NA19312	NA19456	0.0446	unrelated
NA19312	NA19457	0.0446	unrelated
NA19312	NA19461	0.0438	unrelated
NA19312	NA19462	0.046	unrelated
NA19312	NA19463	0.0386	unrelated
NA19312	NA19466	0.0435	unrelated
NA19312	NA19467	0.0414	unrelated
NA19312	NA19468	0.0403	unrelated
NA19312	NA19469	0.0467	unrelated
NA19312	NA19470	0.0454	unrelated
NA19312	NA19471	0.044	unrelated
NA19312	NA19472	0.043	unrelated
NA19312	NA19473	0.0457	unrelated
NA19312	NA19474	0.0445	unrelated
NA19313	NA19315	0.0432	unrelated
NA19313	NA19316	0.0496	unrelated
NA19313	NA19317	0.0475	unrelated
NA19313	NA19318	0.0469	unrelated
NA19313	NA19319	0.0421	unrelated
NA19313	NA19321	0.0484	unrelated
NA19313	NA19324	0.0437	unrelated
NA19313	NA19327	0.0443	unrelated
NA19313	NA19328	0.0535	unrelated
NA19313	NA19331	0.5179	related
NA19313	NA19332	0.0429	unrelated
NA19313	NA19334	0.2705	related
NA19313	NA19338	0.041	unrelated
NA19313	NA19346	0.0464	unrelated
NA19313	NA19347	0.0415	unrelated
NA19313	NA19350	0.0478	unrelated
NA19313	NA19351	0.0474	unrelated
NA19313	NA19352	0.0418	unrelated
NA19313	NA19355	0.0398	unrelated
NA19313	NA19359	0.0447	unrelated
NA19313	NA19360	0.05	unrelated
NA19313	NA19371	0.0429	unrelated
NA19313	NA19372	0.0487	unrelated
NA19313	NA19373	0.0473	unrelated
NA19313	NA19374	0.0424	unrelated
NA19313	NA19375	0.0437	unrelated
NA19313	NA19376	0.0439	unrelated
NA19313	NA19377	0.0456	unrelated
NA19313	NA19379	0.0438	unrelated
NA19313	NA19380	0.0384	unrelated
NA19313	NA19381	0.043	unrelated
NA19313	NA19382	0.0416	unrelated
NA19313	NA19383	0.0465	unrelated
NA19313	NA19384	0.0491	unrelated
NA19313	NA19385	0.0447	unrelated
NA19313	NA19390	0.0455	unrelated
NA19313	NA19391	0.045	unrelated
NA19313	NA19393	0.0429	unrelated
NA19313	NA19394	0.0401	unrelated
NA19313	NA19395	0.0406	unrelated
NA19313	NA19396	0.0443	unrelated
NA19313	NA19397	0.0468	unrelated
NA19313	NA19398	0.048	unrelated
NA19313	NA19399	0.0499	unrelated
NA19313	NA19401	0.0455	unrelated
NA19313	NA19403	0.038	unrelated
NA19313	NA19404	0.0459	unrelated
NA19313	NA19428	0.0431	unrelated
NA19313	NA19429	0.0447	unrelated
NA19313	NA19430	0.046	unrelated
NA19313	NA19431	0.0447	unrelated
NA19313	NA19434	0.0448	unrelated
NA19313	NA19435	0.0472	unrelated
NA19313	NA19436	0.0421	unrelated
NA19313	NA19437	0.0369	unrelated
NA19313	NA19438	0.0407	unrelated
NA19313	NA19439	0.0414	unrelated
NA19313	NA19440	0.0469	unrelated
NA19313	NA19443	0.0458	unrelated
NA19313	NA19444	0.0436	unrelated
NA19313	NA19445	0.0387	unrelated
NA19313	NA19446	0.0433	unrelated
NA19313	NA19448	0.0495	unrelated
NA19313	NA19449	0.0408	unrelated
NA19313	NA19451	0.0419	unrelated
NA19313	NA19452	0.0414	unrelated
NA19313	NA19453	0.0402	unrelated
NA19313	NA19455	0.0375	unrelated
NA19313	NA19456	0.0458	unrelated
NA19313	NA19457	0.045	unrelated
NA19313	NA19461	0.0452	unrelated
NA19313	NA19462	0.0476	unrelated
NA19313	NA19463	0.0436	unrelated
NA19313	NA19466	0.0375	unrelated
NA19313	NA19467	0.0409	unrelated
NA19313	NA19468	0.0381	unrelated
NA19313	NA19469	0.0481	unrelated
NA19313	NA19470	0.0434	unrelated
NA19313	NA19471	0.0392	unrelated
NA19313	NA19472	0.0418	unrelated
NA19313	NA19473	0.0457	unrelated
NA19313	NA19474	0.0434	unrelated
NA19315	NA19316	0.0387	unrelated
NA19315	NA19317	0.0436	unrelated
NA19315	NA19318	0.0416	unrelated
NA19315	NA19319	0.0421	unrelated
NA19315	NA19321	0.0383	unrelated
NA19315	NA19324	0.0411	unrelated
NA19315	NA19327	0.0353	unrelated
NA19315	NA19328	0.0495	unrelated
NA19315	NA19331	0.0364	unrelated
NA19315	NA19332	0.0392	unrelated
NA19315	NA19334	0.0396	unrelated
NA19315	NA19338	0.0399	unrelated
NA19315	NA19346	0.0431	unrelated
NA19315	NA19347	0.0382	unrelated
NA19315	NA19350	0.0424	unrelated
NA19315	NA19351	0.0445	unrelated
NA19315	NA19352	0.0401	unrelated
NA19315	NA19355	0.0418	unrelated
NA19315	NA19359	0.0358	unrelated
NA19315	NA19360	0.041	unrelated
NA19315	NA19371	0.0414	unrelated
NA19315	NA19372	0.0401	unrelated
NA19315	NA19373	0.0432	unrelated
NA19315	NA19374	0.0408	unrelated
NA19315	NA19375	0.0432	unrelated
NA19315	NA19376	0.0442	unrelated
NA19315	NA19377	0.0437	unrelated
NA19315	NA19379	0.042	unrelated
NA19315	NA19380	0.0396	unrelated
NA19315	NA19381	0.0411	unrelated
NA19315	NA19382	0.039	unrelated
NA19315	NA19383	0.0449	unrelated
NA19315	NA19384	0.0456	unrelated
NA19315	NA19385	0.037	unrelated
NA19315	NA19390	0.0402	unrelated
NA19315	NA19391	0.043	unrelated
NA19315	NA19393	0.0431	unrelated
NA19315	NA19394	0.0465	unrelated
NA19315	NA19395	0.0357	unrelated
NA19315	NA19396	0.045	unrelated
NA19315	NA19397	0.0457	unrelated
NA19315	NA19398	0.0435	unrelated
NA19315	NA19399	0.038	unrelated
NA19315	NA19401	0.0387	unrelated
NA19315	NA19403	0.0381	unrelated
NA19315	NA19404	0.0438	unrelated
NA19315	NA19428	0.0413	unrelated
NA19315	NA19429	0.0396	unrelated
NA19315	NA19430	0.0372	unrelated
NA19315	NA19431	0.0431	unrelated
NA19315	NA19434	0.0412	unrelated
NA19315	NA19435	0.036	unrelated
NA19315	NA19436	0.0386	unrelated
NA19315	NA19437	0.0318	unrelated
NA19315	NA19438	0.0381	unrelated
NA19315	NA19439	0.0404	unrelated
NA19315	NA19440	0.0486	unrelated
NA19315	NA19443	0.0404	unrelated
NA19315	NA19444	0.0393	unrelated
NA19315	NA19445	0.0408	unrelated
NA19315	NA19446	0.0458	unrelated
NA19315	NA19448	0.042	unrelated
NA19315	NA19449	0.0429	unrelated
NA19315	NA19451	0.0473	unrelated
NA19315	NA19452	0.0334	unrelated
NA19315	NA19453	0.0362	unrelated
NA19315	NA19455	0.0461	unrelated
